Country_Name,ISO3,Population,Gini,gross_domestic_product_usd,thermodynamic_gdp_usd,physical_depreciation_usd,natural_depletion_usd,cognitive_depletion_usd,metabolic_depreciation_usd,epistemic_decay_usd,care_economy_dividend_usd,smog_friction_penalty_usd,gini_friction_penalty_usd,financialization_friction_usd,offshored_entropy_debt_usd,net_domestic_value_usd,cohesion_archetype,equilibrium_transfer_usd,ndv_to_gdp_ratio
World,WLD,7988550201.0,0.38,102862471365575.0,102882681619108.86,4114498854623.0,3029992049550.0,23443199419854.6,19306350140591.29,0.0,15824995594703.85,177231695707.7,771468535241.81,5657435925106.62,0.0,62208999432839.6,Natural,1498839701.9216418,0.605
OECD members,OED,1378591781.0,0.38,61286449816069.9,59970392006022.05,2451457992642.8,872636737500.0,5132497200663.0,11080222133345.27,0.0,9428684587087.68,8666572356.73,459648373620.52,3370754739883.84,41738355396.1,45982953327403.39,Natural,1498839701.9216418,0.75
Post-demographic dividend,PST,1117420833.0,0.38,57655583144884.1,56377236602261.95,2306223325795.36,755120914200.0,4160157761259.0,10635258899875.4,0.0,8870089714597.55,5050517645.69,432416873586.63,3171057072968.63,36653371413.38,43746886419817.34,Natural,1498839701.9216418,0.759
North America,NAC,373011185.0,0.38,28262944669046.3,28494825082905.4,1130517786761.85,492487598325.0,1512888605017.8,6006645941537.34,0.0,4348145333699.43,692097860.5,211972085017.85,1554461956797.55,74020669326.52,21860782515662.332,Natural,1498839701.9216418,0.773
Europe & Central Asia,ECS,924267385.0,0.38,25850174701132.2,25656964330167.93,1034006988045.29,793548994200.0,3558447917597.7,3947432183717.57,229245430434.18,3976949954020.34,7526502025.16,193876310258.49,1421759608562.27,0.0,18449569189049.543,Natural,1498839701.9216418,0.714
East Asia & Pacific,EAS,2379617118.0,0.38,31457553986143.5,30439144323955.07,1258302159445.74,499227357525.0,8588323732916.16,4733065536131.82,0.0,4839623690175.92,42479540182.18,235931654896.08,1730165469237.89,0.0,18192771403498.05,Natural,1498839701.9216418,0.578
United States,USA,333996304.0,0.417,26054614000000.0,26139226862240.36,1042184560000.0,232346250000.0,1356528766278.07,5662562076417.85,0.0,4008402153846.15,648817984.53,436414784500.0,5210922800000.0,75031120000.0,16132488680607.982,Natural,1498839701.9216418,0.619
Late-demographic dividend,LTE,2323799602.0,0.38,28553586772075.8,28624185430021.34,1142143470883.03,1321094464125.0,8651505918246.0,4123127135651.18,273654898915.82,4392859503396.28,40933710822.72,214151900790.57,1570447272464.17,0.0,15681485001221.041,Natural,1498839701.9216418,0.549
IBRD only,IBD,4928196300.0,0.38,37847494888632.6,37803488745924.25,1513899795545.3,1792151641575.0,16059611846736.0,6696798296222.06,503747509138.83,5822691521328.09,112730765169.18,283856211664.74,2081612218874.79,0.0,14583270822028.361,Natural,1498839701.9216418,0.385
IDA & IBRD total,IBT,6793703268.0,0.38,40927482641799.6,40868014630516.86,1637099305671.98,2280723115350.0,18746544797719.2,8271753144285.66,562078969584.08,6296535791046.09,168530045400.61,306956119813.5,2251011545298.98,0.0,12941352218140.861,Natural,1498839701.9216418,0.316
European Union,EUU,447203596.0,0.38,17023620598906.4,15319171065765.04,680944823956.26,119688493350.0,1664938987908.0,2599395162526.47,92818717657.51,2619018553677.91,2580825450.28,127677154491.8,936299132939.85,0.0,11715345160864.71,Natural,1498839701.9216418,0.688
China,CHN,1412175000.0,0.36,18316765021690.2,17750102222436.25,732670600867.61,167802750000.0,4676806767402.34,2523455032368.67,2014844152.39,2817963849490.8,30385232822.08,45791912554.23,1373757376626.76,0.0,10998601280132.97,Industrial,-16780275000.0,0.6
East Asia & Pacific (IDA & IBRD countries),TEA,2107261123.0,0.38,21537381722236.2,21047204619600.8,861495268889.45,362293178325.0,7596128460523.02,3225799359097.94,34976826815.14,3313443341882.49,40159025049.14,161530362916.77,1184555994722.99,0.0,10857480167311.34,Industrial,-36229317832.5,0.504
East Asia & Pacific (excluding high income),EAP,2133560408.0,0.38,21564016559632.4,21074478489222.26,862560662385.3,366753000825.0,7625515583024.64,3247503271667.14,35020081938.11,3317541009174.22,40492629656.38,161730124197.24,1186020910779.78,0.0,10829747933840.38,Industrial,-36675300082.5,0.502
Euro area,EMU,354666175.0,0.38,14578675912327.5,12988422471396.11,583147036493.1,82355609175.0,1320422169525.0,2267350022223.2,72578577952.15,2242873217281.15,1929345721.91,109340069342.46,801827175178.01,0.0,9993844522768.361,Natural,1498839701.9216418,0.686
Middle income,MIC,5882746344.0,0.38,36531426959364.9,36101218531883.09,1461257078374.6,1404150719100.0,21901464638712.0,7187432390078.51,401040056233.52,5620219532209.99,151432165851.03,273985702195.24,2009228482765.07,0.0,6932945670485.021,Natural,1498839701.9216418,0.19
Low & middle income,LMY,6590522389.0,0.38,37082867531465.4,36659969339646.95,1483314701258.62,1624560107925.0,24536514854247.0,7755584996174.83,408352458067.73,5705056543302.37,167064612915.95,278121506485.99,2039557714230.6,0.0,4073453771345.5317,Natural,1498839701.9216418,0.11
Germany,DEU,83177813.0,0.337,4201021706478.62,3748865260964.37,168040868259.14,8564250000.0,333824766670.62,729253552326.09,0.0,646311031765.94,309340072.42,0,273066410921.11,0.0,2881260679480.92,Industrial,-856425000.0,0.686
Japan,JPN,125124989.0,0.329,4447976207314.78,3847694563379.22,177919048292.59,18701250000.0,465420702169.44,793279465751.42,0.0,684304031894.58,744424885.55,0,320254286926.66,12685259231.58,2741124033016.55,Industrial,-1870125000.0,0.616
"Middle East, North Africa, Afghanistan & Pakistan",MEA,782349366.0,0.38,5035779695254.83,5186853086112.48,201431187810.19,20943828300.0,1980626948940.24,933490720200.54,100715593905.1,774735337731.51,26338301849.06,37768347714.41,276967883239.02,0.0,2381211229055.43,Industrial,-2094382830.0,0.473
United Kingdom,GBR,67636000.0,0.351,3181244350465.41,2994286709969.49,127249774018.62,2405175000.0,282811831622.35,504170674844.19,0.0,489422207763.91,271444610.46,795311087.62,270405769789.56,2736047461.38,2292622371799.24,Industrial,-240517500.0,0.721
Europe & Central Asia (IDA & IBRD countries),TEC,460942269.0,0.38,5264957389633.5,5363141018910.6,210598295585.34,678016258350.0,1720125921763.44,776965011869.38,165441960082.32,809993444559.0,5261435773.17,39487180422.25,289572656429.84,0.0,2289164582895.7817,Natural,1498839701.9216418,0.435
Latin America & Caribbean,LCN,653108131.0,0.38,6147092422711.93,6155849308126.56,245883696908.48,695369944050.0,2205533096224.38,1134214306626.92,226532479961.61,945706526571.07,6903034646.17,46103193170.34,338090083249.16,9388452806.61,2195036386755.8916,Natural,1498839701.9216418,0.357
Latin America & the Caribbean (IDA & IBRD countries),TLA,637837815.0,0.38,5853946060777.18,5864274355513.19,234157842431.09,692146249050.0,2159553003758.1,1092183823597.06,215729458338.66,900607086273.41,6855339874.62,43904595455.83,321967033342.74,9305381271.29,1990577554369.1416,Natural,1498839701.9216418,0.34
