Country_Name,gross_domestic_product_usd,net_domestic_value_usd,ndv_to_gdp_ratio,equilibrium_transfer_usd,cohesion_archetype
Germany,4201021706478.62,4647962640419.218,110.63886276167881,-856425000.0,Industrial
France,2794788137066.94,3099554515445.4854,110.90481150740786,114200769.70588236,Natural
Italy,2104067630319.46,2324067272529.793,110.45592066719503,-725531250.0,Industrial
Spain,1448850658406.62,1592606711706.5632,109.92207529919193,114200769.70588236,Natural
Netherlands,1046540797548.64,1165274715711.657,111.34536928145877,-27852667.5,Industrial
Poland,695607470875.276,767282410982.5879,110.30393477763027,114200769.70588236,Natural
Belgium,591474463578.602,658168800315.3059,111.27594525944242,-51697500.0,Industrial
Sweden,575071237640.921,619661070134.2516,107.75379284769113,114200769.70588236,Natural
Ireland,548341794599.09,610096425923.4121,111.26206901107598,-59251500.0,Industrial
Austria,473221298968.216,524224733082.1689,110.7779244563078,114200769.70588236,Natural
Denmark,400114306337.077,445122124428.1801,111.24874001710556,-47274000.0,Industrial
Czechia,301831228325.556,334192499416.6585,110.72164443375539,114200769.70588236,Natural
Romania,295317862855.924,323318611447.9674,109.48156278839932,114200769.70588236,Natural
Finland,280253099309.34,295465464071.81854,105.42808083120867,114200769.70588236,Natural
Portugal,256898677175.024,280406458562.50793,109.15060429504204,114200769.70588236,Natural
Greece,217990189600.69,238932352396.80646,109.60692902486937,114200769.70588236,Natural
Hungary,177002580544.155,195354683437.04523,110.36826855092778,-153757417.5,Industrial
Slovak Republic,115792972358.209,127585904611.85754,110.1844973952018,114200769.70588236,Natural
Bulgaria,90510784777.6397,96162565428.20956,106.24431736444973,114200769.70588236,Natural
Luxembourg,80801680397.0139,89415085665.85062,110.65993334113264,-6652500.0,Industrial
Croatia,71196460236.6301,77900990232.0142,109.41694288325682,114200769.70588236,Natural
Lithuania,70639687325.6326,76146611211.82788,107.79579312236991,114200769.70588236,Natural
Slovenia,59899117741.0022,65884436621.98594,109.99233228586715,114200769.70588236,Natural
Estonia,38226641740.29,40826843253.42411,106.80206629397308,114200769.70588236,Natural
Latvia,38003198508.9107,39665243267.553154,104.37343387886877,114200769.70588236,Natural
Cyprus,31218047043.8386,34602509675.49436,110.84136565911076,-12936750.0,Industrial
Malta,18938869147.0818,20942516608.11041,110.5795517433909,-34500.0,Industrial
