Country_Name,ISO3,GDP_USD,NDV_Base_USD,Base_Ratio_Pct,Mean_Ratio_Pct,CI_95_Lower,CI_95_Upper,Std_Dev
OECD members,OED,61286449816069.9,44483500540381.984,0.73,77.24,59.14,95.57,9.02
Post-demographic dividend,PST,57655583144884.1,42424352024700.125,0.74,78.76,62.29,97.27,8.82
World,WLD,102862471365575.0,36550941550057.35,0.35,39.96,22.23,58.48,9.15
North America,NAC,28262944669046.3,21823306481226.562,0.77,82.04,63.1,100.37,9.22
Europe & Central Asia,ECS,25850174701132.2,17283662611264.021,0.67,71.41,54.05,89.98,9.07
United States,USA,26054614000000.0,15442073132189.541,0.59,67.11,49.07,85.27,9.32
East Asia & Pacific,EAS,31457553986143.5,12401526469372.223,0.39,43.87,25.85,62.39,8.98
European Union,EUU,17023620598906.4,12032359685382.922,0.71,77.22,60.65,93.45,8.58
Euro area,EMU,14578675912327.5,10294997575188.643,0.71,78.57,61.67,95.53,8.69
Late-demographic dividend,LTE,28553586772075.8,9950527080370.982,0.35,39.4,20.34,58.05,9.46
China,CHN,18316765021690.2,9214259851064.53,0.5,56.45,39.18,74.67,9.11
East Asia & Pacific (IDA & IBRD countries),TEA,21537381722236.2,7433435373041.77,0.34,39.75,20.47,60.27,9.84
East Asia & Pacific (excluding high income),EAP,21564016559632.4,7340770768582.2,0.34,38.92,19.88,58.16,9.54
Germany,DEU,4201021706478.62,3028560364548.92,0.72,81.65,64.84,99.33,8.53
United Kingdom,GBR,3181244350465.41,2488287717889.31,0.78,84.11,67.81,102.41,8.81
Japan,JPN,4447976207314.78,2280953155199.78,0.51,71.4,55.97,87.3,8.15
Europe & Central Asia (IDA & IBRD countries),TEC,5264957389633.5,2234052024595.672,0.42,46.95,26.78,65.83,9.84
"Middle East, North Africa, Afghanistan & Pakistan",MEA,5035779695254.83,2155430076837.45,0.43,47.62,28.93,68.68,10.13
Latin America & Caribbean,LCN,6147092422711.93,2086869693232.1917,0.34,38.52,18.55,57.73,9.78
France,FRA,2794788137066.94,2074977429912.1716,0.74,82.61,65.59,99.78,8.51
Latin America & the Caribbean (IDA & IBRD countries),TLA,5853946060777.18,1896864234105.6216,0.32,36.82,17.02,55.99,9.98
Latin America & Caribbean (excluding high income),LAC,5425723261080.83,1693649030224.8015,0.31,35.57,15.73,54.6,10.12
Canada,CAN,2200562785046.32,1621866215908.1516,0.74,78.64,61.12,97.57,9.1
Arab World,ARB,3752344988903.0,1549821792321.3,0.41,45.87,25.55,67.02,10.7
Italy,ITA,2104067630319.46,1434965930169.14,0.68,77.94,62.45,93.54,7.92
Australia,AUS,1695627535475.8,1416967464971.7617,0.84,87.94,69.48,104.74,8.63
Central Europe and the Baltics,CEB,1954028005289.23,1354584768300.5117,0.69,74.38,57.05,91.17,8.5
"Korea, Rep.",KOR,1799363116866.52,1257787989664.6,0.7,77.1,61.04,92.13,8.17
Saudi Arabia,SAU,1239075200000.0,1071469795723.41,0.86,91.3,74.0,109.56,9.14
Spain,ESP,1448850658406.62,996552398518.0917,0.69,73.31,57.6,88.87,7.93
Russian Federation,RUS,2292495097681.47,957041897076.7117,0.42,46.14,26.85,65.19,9.51
Mexico,MEX,1466934724243.38,791495002395.8317,0.54,59.28,40.48,77.06,9.32
Netherlands,NLD,1046540797548.64,739388023091.81,0.71,75.69,60.59,90.7,7.62
Switzerland,CHE,858479038993.75,728766821518.39,0.85,89.28,71.32,105.43,8.59
Europe & Central Asia (excluding high income),ECA,1819829713206.56,643159440258.3517,0.35,39.85,19.43,60.99,10.62
Norway,NOR,617321834098.99,594567710459.2916,0.96,100.25,82.8,118.56,9.08
Poland,POL,695607470875.28,498533137809.8916,0.72,76.0,59.21,93.6,8.71
Brazil,BRA,1951923942083.32,488515351690.2816,0.25,29.62,11.38,47.19,9.84
United Arab Emirates,ARE,511403404642.17,475361999143.22,0.93,96.94,80.22,114.06,8.76
Israel,ISR,525157951212.87,473682468330.2,0.9,94.32,77.67,111.39,8.85
Turkiye,TUR,926097476913.82,469815573665.7316,0.51,54.77,36.65,72.66,9.16
Ireland,IRL,548341794599.09,467760470616.95,0.85,89.88,74.48,106.74,7.92
Sweden,SWE,575071237640.92,464128513568.0216,0.81,86.94,68.85,104.48,8.97
Belgium,BEL,591474463578.6,445168927294.54,0.75,80.56,64.7,96.33,8.04
Austria,AUT,473221298968.22,372397195673.94165,0.79,82.85,66.77,98.91,8.23
Argentina,ARG,633993756301.08,353719476854.95166,0.56,60.49,41.39,78.46,9.51
Denmark,DNK,400114306337.08,344186768403.69,0.86,91.64,74.8,110.49,8.76
Indonesia,IDN,1319101183380.15,276703641842.92163,0.21,25.62,1.86,48.26,11.43
Qatar,QAT,235709325714.29,239047078542.04,1.01,106.09,88.27,123.33,8.57
Czechia,CZE,301831228325.56,235470025877.98163,0.78,83.64,63.66,101.26,9.3
Malaysia,MYS,407830525989.55,226088987226.06165,0.55,59.25,39.29,77.29,9.75
Finland,FIN,280253099309.34,207964272755.13162,0.74,84.23,67.31,100.56,8.49
New Zealand,NZL,249723029451.24,199099484617.02164,0.8,83.37,65.94,102.88,9.07
Romania,ROU,295317862855.92,193781798796.31165,0.66,69.41,54.01,86.97,8.68
Kuwait,KWT,183502046693.88,162446690895.58,0.89,92.86,74.57,111.36,9.51
Portugal,PRT,256898677175.02,158617068159.95163,0.62,71.22,54.47,87.87,8.56
Small states,SST,270875639826.53,158390379570.65164,0.58,62.39,44.84,81.98,9.17
Chile,CHL,301099244104.0,150568550566.62164,0.5,53.93,34.41,72.24,9.28
Singapore,SGP,514252535238.75,133759226377.79,0.26,30.58,24.37,36.99,3.24
Thailand,THA,495691837308.03,131808357299.66165,0.27,30.54,9.48,51.95,11.21
